HCMtranscript no.	"Accession no (human,chimp,mouse)"	LocusLink ID	gene symbol	Panther Molecular function	Panther Biological Process	P-value model 1 (dN/dS) human (two-sided)	P-value model 1 (dN/dS) chimp (two-sided)	"P-value model 1 (dN/dS) human (one-sided, test for pos selection)"	"P-value model 1 (dN/dS) chimp (one-sided, test for pos selection)"	dS_human	dN_human	dN/dS human	dS_chimp	dN_chimp	dN/dS chimp	% GC	% ALU	% MIR	% SINEs	% L1	% L2	% LINEs	% MaLR	% ERVL	% ERV1	% ERVK	% LTR elements	% MER1	% MER2	% DNA Elements	% Mariner	% T2	% Tc2	% Low Complexity	% Satellite	% Simple	% Unknown	% rRNA	% scRNA	% snRNA	% tRNA	% RNA elements	Model 2 (M2) p-value human	Model 2 (M2) p-value chimp	M2_LR	M2_L_3	M2_Mu_3	M2_p0_3	M2_p1_3	M2_L_2	M2_Mu_2	M2_P0_2	local cM/Mb (from Kong et al.)	Chromosome (Chr)	Gene Start on Chr
HCM3603	"AY409575,AY409576,AY409577"	2028	ENPEP	Metalloprotease->Protease	Proteolysis->Protein metabolism and modification	1.03E-01	1.23E-02	1.03E-01	1.00E+00	2.61E-06	2.61E-03	1.00E+03	8.87E-03	1.44E-03	1.62E-01	37	6.45	2.58	9.03	8.85	3.02	11.87	2.74	1.4	0.7	0	4.84	1.08	0.4	1.48	0.03	0	0	0.73	0	0.65	0	0	0	0	0	0	3.17E-02	4.19E-01	1.72E+00	-4206.303	8.77E-01	1.49E-04	1.00E-04	-4208.027	8.75E-01	1.44E+00	1.25	4	110595034
HCM5080	"AY414006,AY414007,AY414008"	1506	CTRL	Molecular function unclassified	Proteolysis->Protein metabolism and modification	1.03E-01	2.43E-01	1.03E-01	1.00E+00	5.39E-06	5.39E-03	1.00E+03	5.25E-03	1.89E-03	3.60E-01	54	24.49	1.46	25.95	1.08	1.7	2.78	0	0.39	0.47	0	0.86	0.52	0	0.52	0	0	0	0.24	0	0.39	0	0	0	0	0	0	2.70E-03	1.00E+00	3.87E+00	-1442.769	7.14E-01	4.09E-04	1.00E-04	-1446.639	7.09E-01	3.48E+00	0.34	16	56505780
HCM4267	"AY411567,AY411568,AY411569"	10557		Molecular function unclassified	Biological process unclassified	1.04E-01	9.98E-02	1.04E-01	9.98E-02	4.49E-06	4.49E-03	1.00E+03	4.65E-06	4.65E-03	1.00E+03	43	27.48	1.49	28.97	11.11	1.62	12.73	0.85	0.41	2.35	0	3.61	2.1	0.34	2.44	0.08	0	0	0.87	0	1.32	0	0	0	0	0	0	1.85E-02	1.00E+00	2.17E+00	-1596.786	8.84E-01	1.27E-04	1.00E-04	-1598.961	8.78E-01	1.20E+00	1.78	10	15491809
HCM2689	"AY406833,AY406834,AY406835"			Molecular function unclassified	Biological process unclassified	1.05E-01	2.03E-01	1.05E-01	1.00E+00	1.19E-04	1.37E-02	1.15E+02	9.93E-03	1.92E-03	1.93E-01	41	5.38	0.86	6.24	24.01	3.85	27.86	2.84	0.99	1.78	0	5.61	0.47	0.4	0.87	0.1	0	0	0.38	0	0.51	0	0	0	0	0	0	3.61E-02	1.08E-01	1.62E+00	-791.2227	1.01E+00	1.00E-04	1.85E-04	-792.8396	9.92E-01	4.52E-01	0.78	9	36486490
HCM7437	"AY421077,AY421078,AY421079"	55020		Molecular function unclassified	Biological process unclassified	1.05E-01	1.86E-01	1.05E-01	1.00E+00	1.18E-04	5.12E-03	4.34E+01	4.86E-03	1.09E-03	2.24E-01	51	19.38	1.41	20.79	4.92	2.99	7.91	3.04	0.36	0	0	3.4	0.48	0	0.48	0	0	0	0.39	0	0.51	0	0	0	0	0	0	3.68E-03	3.81E-01	3.59E+00	-1620.352	7.89E-01	5.93E-04	1.00E-04	-1623.943	7.81E-01	4.89E+00	3.68	22	30754925
HCM1274	"AY402588,AY402589,AY402590"	11243	PMF1	Other transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	1.06E-01	4.48E-01	1.06E-01	4.48E-01	1.02E-05	1.02E-02	1.00E+03	4.37E-08	4.35E-05	9.95E+02	50	25.51	2.62	28.13	2.96	4.93	7.89	0.4	0.33	0	4.84	5.57	0.7	0.17	0.87	0.24	0	0	0.16	0	0.73	0	0	0	0	0	0	4.72E-03	2.06E-03	3.37E+00	-747.7181	9.85E-01	3.01E-04	1.00E-04	-751.0864	9.62E-01	2.42E+00	1.31	1	130513947
HCM4309	"AY411693,AY411694,AY411695"	29080		Molecular function unknown	Biological process unknown	1.07E-01	5.49E-02	1.07E-01	1.00E+00	1.19E-04	8.87E-03	7.45E+01	1.17E-02	4.95E-04	4.23E-02	37	4.54	1.81	6.35	10.33	3.49	13.82	2.07	0.44	4.9	0	7.41	0.79	1.81	2.6	0	0	0	1.07	0	0.55	0	0	0	0	0	0	1.21E-02	2.31E-02	2.54E+00	-1260.827	1.32E+00	1.50E-04	1.00E-04	-1263.365	1.29E+00	1.32E+00	0.66	12	82153611
HCM6472	"AY418182,AY418183,AY418184"	27284	SULT1B1	Other transferase->Transferase	Sulfur metabolism	1.07E-01	6.66E-02	1.07E-01	1.00E+00	1.05E-04	6.61E-03	6.30E+01	1.23E-02	1.68E-03	1.37E-01	37	3.36	2.01	5.37	22.72	0.33	23.05	4.48	1.09	5.44	0.54	11.55	1.76	0.4	2.16	0	0	0	0.36	0	0.61	0	0	0	0	0	0	4.70E-02	1.00E+00	1.40E+00	-1321.762	1.06E+00	1.00E-04	1.00E-04	-1323.165	9.42E-01	8.74E-01	0.68	4	68732873
HCM0675	"AY400791,AY400792,AY400793"	9045	RPL14	Ribosomal protein->Nucleic acid binding	Protein biosynthesis->Protein metabolism and modification	1.07E-01	4.73E-01	1.07E-01	4.73E-01	6.93E-06	6.93E-03	1.00E+03	3.26E-06	4.71E-05	1.44E+01	43	19.58	1.69	21.27	12.5	4.02	16.52	2.75	0.78	2.59	0	6.12	1.73	0.2	1.93	0	0	0	0.28	0	0.94	0	0	0	0.08	0	0.08	3.52E-02	4.80E-01	1.64E+00	-779.8943	5.96E-01	2.59E-04	1.01E-04	-781.5316	5.91E-01	2.20E+00	0.86	3	44005151
HCM5223	"AY414435,AY414436,AY414437"	80010		Molecular function unclassified	Biological process unclassified	1.08E-01	3.49E-02	1.08E-01	1.00E+00	1.07E-04	3.85E-03	3.60E+01	9.34E-03	1.72E-03	1.84E-01	41	24.85	1.08	25.93	14.45	0.48	14.93	0.77	0.2	0.56	0.89	2.42	0.59	2.53	3.12	0.92	0	0	0.27	0	0.76	0	0.04	0.09	0	0	0.13	3.09E-02	3.54E-01	1.74E+00	-3455.844	8.84E-01	1.00E-04	1.04E-04	-3457.588	8.81E-01	9.14E-01	1.12	9	58513525
HCM6948	"AY419610,AY419611,AY419612"			Other transcription factor->Transcription factor	"Interferon-mediated immunity->Immunity and defense;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	1.09E-01	3.78E-02	1.09E-01	1.00E+00	1.55E-05	1.55E-02	1.00E+03	1.73E-02	1.73E-06	1.00E-04	52	20.69	1.46	22.15	0.86	3.42	4.28	0.76	0	0	1.02	1.78	1.57	1.15	2.72	0	0	0	0.17	0	0.37	0	0.12	0	0	0	0.12	7.30E-03	4.22E-01	2.98E+00	-914.6557	8.24E-01	1.11E-04	1.00E-04	-917.6376	8.13E-01	9.04E-01	1.89	14	4671442
HCM5016	"AY413814,AY413815,AY413816"	26610	ELP4	Molecular function unclassified	Biological process unclassified	1.09E-01	1.75E-01	1.09E-01	1.00E+00	1.05E-04	3.89E-03	3.70E+01	6.38E-03	2.33E-03	3.65E-01	34	6.67	2.38	9.05	7.26	6	13.26	2.17	0	1.72	0	3.89	0.89	1.05	1.94	0	0	0	1.1	0	0.43	0	0.05	0	0	0	0.05	4.71E-02	1.26E-01	1.40E+00	-2268.589	6.94E-01	1.00E-04	1.79E-04	-2269.99	6.94E-01	5.29E-01	0.55	11	31378746
HCM2118	"AY405120,AY405121,AY405122"			Molecular function unclassified	Biological process unclassified	1.11E-01	2.83E-01	1.11E-01	1.00E+00	1.02E-04	8.47E-03	8.30E+01	5.39E-03	2.00E-03	3.71E-01	60	5.61	2.95	8.56	3.9	0.83	4.73	0.99	0.27	0.58	0	1.84	0.43	0.37	0.8	0	0	0	1.81	0	2.63	0	0	0	0	0	0	9.06E-02	3.30E-02	8.93E-01	-1449.837	1.45E+00	1.00E-04	2.31E-04	-1450.73	1.45E+00	4.10E-01	2.63	20	57753704
HCM2904	"AY407478,AY407479,AY407480"	134359		Molecular function unclassified	Biological process unclassified	1.13E-01	7.40E-02	1.13E-01	1.00E+00	1.29E-04	3.69E-03	2.86E+01	2.71E-03	2.71E-07	1.00E-04	40	8.64	2.07	10.71	6.37	2.24	8.61	4.15	0.36	0.87	0	5.38	1.27	0.85	2.12	0	0.48	0.4	0.54	0	0.4	0	0	0	0.1	0	0.1	1.34E-02	4.50E-02	2.45E+00	-2899.464	9.67E-01	1.99E-04	1.00E-04	-2901.917	9.66E-01	1.90E+00	1.75	5	74494216
HCM1529	"AY403353,AY403354,AY403355"	3373	HYAL1	Glycosidase->Hydrolase	Biological process unclassified	1.14E-01	5.45E-02	1.14E-01	1.00E+00	4.52E-06	4.52E-03	1.00E+03	4.49E-03	4.49E-07	1.00E-04	57	18.66	0.71	19.37	0.37	2.77	3.14	0	0	2.5	0	2.5	0.17	0	0.17	0	0	0	0.06	0	0.37	0	0	0	0	0	0	4.06E-02	1.00E+00	1.52E+00	-1795.746	7.93E-01	1.00E-04	1.15E-04	-1797.265	7.99E-01	8.29E-01	0.29	3	55137758
HCM3943	"AY410595,AY410596,AY410597"		OR51C3P	G-protein coupled receptor->Receptor	Olfaction->Chemosensory perception->Sensory perception;G-protein mediated signaling->Cell surface receptor mediated signal transduction->Signal transduction	1.15E-01	2.18E-01	1.15E-01	1.00E+00	1.23E-04	4.76E-03	3.87E+01	1.62E-02	9.64E-03	5.95E-01	38	6.44	2.91	9.35	12.46	3.68	16.14	1.93	2.39	0.15	0	4.47	0.51	0	0.51	0	0	0	0.66	0	0.7	0	0	0	0	0	0	5.73E-03	1.00E+00	3.20E+00	-1692.17	7.69E-01	5.48E-04	1.00E-04	-1695.366	7.62E-01	4.55E+00	1.98	11	4182635
HCM0665	"AY400761,AY400762,AY400763"	80298		Molecular function unknown	Biological process unclassified	1.16E-01	1.77E-01	1.16E-01	1.77E-01	3.42E-06	3.42E-03	1.00E+03	2.10E-06	2.10E-03	1.00E+03	39	14.15	2.07	16.22	6.53	4.55	11.08	2.13	0.66	4.94	0	7.73	1.8	0.5	2.3	0	0	0	0.4	0	0.79	0	0	0	0	0	0	5.27E-02	4.00E-01	1.31E+00	-1951.327	8.60E-01	1.27E-04	1.00E-04	-1952.638	8.57E-01	1.23E+00	1.57	12	107100957
HCM2324	"AY405738,AY405739,AY405740"			Glycosyltransferase->Transferase	Detoxification->Immunity and defense;Other polysaccharide metabolism->Carbohydrate metabolism	1.17E-01	4.62E-01	1.17E-01	4.62E-01	1.42E-05	1.42E-02	1.00E+03	4.70E-08	4.67E-05	9.94E+02	39	3.35	0.29	3.64	22.45	0	22.45	6.09	0.48	4.28	0	10.85	0.39	3.98	4.37	0.86	0	0	0.11	0	0.47	0	0	0	0	0	0	1.96E-02	7.62E-02	2.12E+00	-465.3614	1.57E+00	1.03E-04	1.61E-04	-467.4863	1.47E+00	4.24E-01	1.77	2	232149930
HCM6371	"AY417879,AY417880,AY417881"	389	ARHC	Molecular function unclassified	Biological process unclassified	1.18E-01	2.05E-01	1.18E-01	1.00E+00	1.03E-04	5.57E-03	5.41E+01	4.49E-03	1.12E-03	2.49E-01	49	12.36	2.81	15.17	7.48	2.67	10.15	0.44	2.42	0.67	0	3.53	1.61	0.26	1.87	0	0	0	0.5	0	0.46	0	0	0	0	0	0	2.26E-03	1.00E+00	4.03E+00	-1446.898	4.20E-01	5.29E-04	1.00E-04	-1450.93	4.18E-01	4.03E+00	1.02	1	112653979
HCM1125	"AY402141,AY402142,AY402143"	51643		Molecular function unknown	Biological process unclassified	1.18E-01	4.74E-01	1.18E-01	4.74E-01	2.15E-04	1.01E-02	4.70E+01	1.46E-06	4.64E-05	3.18E+01	40	12.33	1.99	14.32	13.4	7.8	21.2	4.44	0.79	1.57	0	6.8	1.24	1.64	2.88	0	0	0	0.43	0	0.65	0	0	0	0	0	0	1.66E-02	1.00E+00	2.27E+00	-576.9888	1.34E+00	7.73E-04	1.00E-04	-579.2572	1.29E+00	5.56E+00	1.39	12	65954107
HCM2163	"AY405255,AY405256,AY405257"			Molecular function unclassified	Biological process unclassified	1.18E-01	2.21E-01	1.18E-01	2.21E-01	9.70E-06	9.70E-03	1.00E+03	4.27E-06	4.27E-03	1.00E+03	44	6.25	4.44	10.69	13.93	1.2	15.13	2.54	1.29	0.8	0	4.63	2.27	2.31	4.58	0	0	0	0.28	0	1.41	0	0	0	0	0	0	5.09E-02	1.00E+00	1.34E+00	-638.6297	9.02E-01	1.00E-04	1.00E-04	-639.9686	9.48E-01	9.65E-01	0.34	3	142317481
HCM1920	"AY404526,AY404527,AY404528"	50832	TAS2R4	G-protein coupled receptor->Receptor	Taste->Chemosensory perception->Sensory perception;G-protein mediated signaling->Cell surface receptor mediated signal transduction->Signal transduction	1.18E-01	4.84E-01	1.18E-01	4.84E-01	4.58E-06	4.58E-03	1.00E+03	4.29E-07	4.65E-05	1.08E+02	40	6.83	1.65	8.48	8.12	2.67	10.79	4.39	1.8	2.18	1.68	10.05	1.33	1.36	2.69	0	0	0	0.46	0	0.48	0	0	0	0	0.13	0.13	9.52E-02	1.00E+00	8.57E-01	-1307.27	1.01E+00	1.00E-04	2.17E-04	-1308.128	1.00E+00	4.34E-01	0.72	7	139908108
HCM6648	"AY418710,AY418711,AY418712"	140885	PTPNS1	Molecular function unclassified	Receptor protein tyrosine kinase signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction;Cytokine and chemokine mediated signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	1.19E-01	3.15E-05	1.19E-01	1.00E+00	1.06E-04	4.75E-03	4.48E+01	2.68E-02	2.68E-06	1.00E-04	50	5.2	11.35	16.55	4.49	10.57	15.06	1.62	0.2	2.04	0	3.86	1.62	0.2	1.82	0	0	0	0.87	0	1.3	0	0	0	0	0	0	9.03E-02	1.00E+00	8.96E-01	-2425.951	1.25E+00	1.09E-01	1.18E-01	-2426.847	1.25E+00	8.84E-01	2.98	20	1845818
HCM4727	"AY412947,AY412948,AY412949"	28973	MRPS18B	Molecular function unclassified	Biological process unclassified	1.19E-01	4.71E-01	1.19E-01	4.71E-01	5.08E-06	5.08E-03	1.00E+03	4.04E-06	4.59E-05	1.14E+01	48	29.68	0.58	30.26	1.55	4.56	6.11	0	0	0	0	0	0.83	0.81	1.64	0	0	0	0.28	0	0.31	0	0	0	0.06	0	0.06	3.91E-02	1.00E+00	1.55E+00	-1081.033	6.74E-01	1.48E-04	1.00E-04	-1082.583	6.72E-01	1.38E+00	0.22	6	30699732
HCM4046	"AY410904,AY410905,AY410906"	5149	PDE6H	Other miscellaneous function protein->Miscellaneous function	Vision->Sensory perception	1.21E-01	4.78E-01	1.21E-01	4.78E-01	2.22E-04	1.45E-02	6.53E+01	7.17E-07	4.68E-05	6.53E+01	39	3.62	3.62	7.24	17.28	5.79	23.07	1.61	2.68	0.32	0	4.61	1.21	0	1.21	0	0	0	0.34	0	0.74	0	0	0	0	0	0	1.26E-01	2.64E-01	6.59E-01	-381.8609	8.43E-01	5.93E-04	1.00E-04	-382.5196	8.34E-01	5.11E+00	1.29	12	18187168
HCM0291	"AY399639,AY399640,AY399641"			Extracellular matrix glycoprotein->Extracellular matrix;Other defense and immunity protein->Defense/immunity protein;Other cell adhesion molecule->Cell adhesion molecule	Cell adhesion;Skeletal development->Mesoderm development->Developmental processes;Macrophage-mediated immunity->Immunity and defense	1.22E-01	4.90E-01	1.22E-01	4.90E-01	4.74E-06	4.74E-03	1.00E+03	4.78E-06	4.52E-05	9.46E+00	41	8.16	3.14	11.3	7.42	2.91	10.33	2.06	0	1.65	0	3.71	2.07	0.4	2.47	0	0	0	0.12	0	0.81	0	0	0	0	0	0	2.90E-02	8.68E-02	1.80E+00	-1123.927	6.09E-01	1.51E-04	1.00E-04	-1125.724	6.07E-01	1.41E+00	1.03	8	95409134
HCM2561	"AY406449,AY406450,AY406451"	9735	KNTC1	Molecular function unclassified	Biological process unclassified	1.23E-01	2.43E-03	1.23E-01	1.00E+00	1.65E-06	1.64E-03	9.94E+02	5.35E-03	5.35E-07	1.00E-04	42	30.99	0.93	31.92	6.48	1.6	8.08	0	0.1	2.02	0	2.12	1.3	0.48	1.78	0	0	0	0.72	0	0.58	0	0	0	0	0	0	2.44E-02	4.11E-01	1.94E+00	-5139.955	8.29E-01	5.78E-04	3.23E-04	-5141.896	8.29E-01	1.73E+00	0.91	12	122592542
HCM6035	"AY416871,AY416872,AY416873"	10486		Other miscellaneous function protein->Miscellaneous function	Biological process unclassified	1.23E-01	1.31E-01	1.23E-01	1.31E-01	2.21E-06	2.21E-03	1.00E+03	2.08E-06	2.08E-03	1.00E+03	42	17.14	1.71	18.85	7.93	3.24	11.17	1.39	1.15	1.1	0	3.64	3.35	0	3.35	0	0	0	0.72	0	0.72	0	0	0	0.03	0	0.03	4.58E-03	1.80E-01	3.40E+00	-2436.33	6.61E-01	6.13E-04	1.00E-04	-2439.726	6.58E-01	5.57E+00	1.74	6	17434020
HCM2433	"AY406065,AY406066,AY406067"	64326		Other zinc finger transcription factor->Zinc finger transcription factor->Transcription factor;RING finger transcription factor->Zinc finger transcription factor->Transcription factor	Biological process unclassified	1.24E-01	4.71E-02	1.24E-01	1.00E+00	5.89E-06	4.25E-05	7.22E+00	9.07E-03	9.07E-07	1.00E-04	38	12.69	1.87	14.56	15.37	2.84	18.21	1.78	0	5.37	0	7.15	1	1.56	2.56	0	0	0	0.52	0	0.25	0	0	0	0	0	0	4.39E-01	4.09E-01	1.17E-02	-1406.15	2.64E-01	3.23E+01	1.00E-04	-1406.162	2.64E-01	1.00E+03	0.82	1	150585724
HCM3578	"AY409500,AY409501,AY409502"			Translation release factor->Translation factor->Nucleic acid binding	Protein biosynthesis->Protein metabolism and modification	1.24E-01	1.02E-01	1.24E-01	1.00E+00	1.01E-04	4.68E-03	4.63E+01	7.92E-03	1.70E-03	2.15E-01	38	8.94	2.9	11.84	7.38	3.32	10.7	3.57	0.54	0.79	0	4.9	1.57	0.36	1.93	1.24	0	0	0.39	0	0.39	0	0	0	0	0	0	3.59E-03	2.18E-01	3.61E+00	-1751.686	8.70E-01	2.85E-04	1.00E-04	-1755.3	8.67E-01	2.62E+00	1.41	6	153846114
HCM0718	"AY400920,AY400921,AY400922"	8477	GPR65	G-protein coupled receptor->Receptor	Biological process unclassified	1.24E-01	4.87E-01	1.24E-01	4.87E-01	3.37E-06	3.37E-03	1.00E+03	6.35E-07	4.59E-05	7.23E+01	39	3.54	2.12	5.66	14.44	4.41	18.85	1.97	2.88	3.33	0.91	9.09	1.96	0	1.96	0.2	0	0	0.28	0	0.32	0	0	0	0.1	0	0.1	5.21E-03	4.11E-01	3.28E+00	-1646.686	1.05E+00	4.51E-04	1.00E-04	-1649.967	1.04E+00	4.12E+00	1.52	14	68793211
HCM5633	"AY415665,AY415666,AY415667"	113220		Microtubule binding motor protein->Microtubule family cytoskeletal protein->Cytoskeletal protein	Biological process unclassified	1.25E-01	1.40E-02	1.25E-01	1.00E+00	9.31E-05	2.68E-03	2.88E+01	4.83E-03	4.83E-07	1.00E-04	50	7.22	7.49	14.71	6.56	5.57	12.13	3.52	1.01	2.16	0	6.69	1.47	0.29	1.76	0	0	0	0.92	0	1.93	0	0	0	0	0	0	3.33E-02	2.23E-02	1.68E+00	-3014.863	8.60E-01	1.52E-04	1.00E-04	-3016.547	8.59E-01	1.46E+00	1.48	9	90127579
HCM6963	"AY419655,AY419656,AY419657"	10019		Molecular function unclassified	Cell structure->Cell structure and motility;B-cell- and antibody-mediated immunity->Immunity and defense;T-cell mediated immunity->Immunity and defense;Other intracellular signaling cascade->Intracellular signaling cascade->Signal transduction;Calcium mediated signaling->Intracellular signaling cascade->Signal transduction;Receptor protein tyrosine kinase signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	1.25E-01	6.09E-02	1.25E-01	1.00E+00	1.09E-04	6.32E-03	5.80E+01	6.21E-03	6.21E-07	1.00E-04	50	25.94	4.24	30.18	7.41	4	11.41	0.79	0	0.68	0	1.47	0.39	0	0.39	0	0	0	0.35	0	0.75	0	0	0	0	0	0	3.12E-02	1.00E+00	1.74E+00	-1306.246	9.77E-01	2.08E-04	1.00E-04	-1307.983	9.71E-01	1.88E+00	1.09	12	111481203
HCM4841	"AY413289,AY413290,AY413291"	9487	PIGL	Glycosyltransferase->Transferase	Protein modification->Protein metabolism and modification	1.25E-01	4.76E-01	1.25E-01	4.76E-01	3.76E-06	3.76E-03	1.00E+03	2.57E-06	4.54E-05	1.77E+01	45	36.82	1.85	38.67	5.13	2.09	7.22	2.64	1	3.93	0	7.57	0.83	0.88	1.71	0	0	0	0.78	0	0.78	0	0	0	0	0	0	8.05E-02	2.74E-01	9.82E-01	-1476.527	7.03E-01	1.07E-04	1.10E-04	-1477.509	7.01E-01	9.35E-01	1.58	17	16763844
HCM0911	"AY401499,AY401500,AY401501"			Molecular function unclassified	Biological process unclassified	1.26E-01	4.53E-01	1.26E-01	4.53E-01	8.97E-06	8.97E-03	1.00E+03	4.61E-08	4.61E-05	1.00E+03	48	22.27	2.61	24.88	10.39	5.52	15.91	1.66	1.56	2.29	0.49	6	1.22	1.38	2.6	0	0	0	0.62	0	1.26	0	0	0	0	0	0	8.30E-02	3.32E-01	9.59E-01	-691.0886	1.20E+00	1.00E-04	4.58E-04	-692.0478	1.18E+00	1.73E-01	1.95	2	217313433
HCM3129	"AY408153,AY408154,AY408155"			G-protein coupled receptor->Receptor	Biological process unclassified	1.27E-01	2.10E-01	1.27E-01	2.10E-01	5.31E-06	5.31E-03	1.00E+03	2.56E-06	2.56E-03	1.00E+03	47	13.59	1.09	14.68	18.53	3.43	21.96	1.3	2.14	5.47	0	8.91	0.58	0	0.58	0	0	0	0.21	0	1.2	0	0	0	0	0.56	0.56	1.10E-02	1.00E+00	2.62E+00	-984.4755	6.22E-01	3.38E-04	1.00E-04	-987.0983	6.12E-01	2.70E+00	3.01	5	183933185
HCM0499	"AY400263,AY400264,AY400265"	54433	NOLA1	Molecular function unclassified	Biological process unclassified	1.27E-01	4.40E-01	1.27E-01	4.40E-01	1.09E-05	1.09E-02	1.00E+03	5.78E-08	5.75E-05	9.95E+02	38	7.83	2.6	10.43	18.99	3.69	22.68	1.99	1.27	0.84	1.18	5.28	3.54	0.36	3.9	0	0	0	0.69	0	0.48	0	0	0	0	0	0	2.50E-02	1.00E+00	1.92E+00	-272.3539	6.20E-01	7.31E-04	1.00E-04	-274.2745	6.00E-01	4.32E+00	1.16	4	109935735
HCM6673	"AY418785,AY418786,AY418787"	10580	SORBS1	Molecular function unclassified	Cell structure->Cell structure and motility;Cell adhesion-mediated signaling->Cell communication->Signal transduction	1.28E-01	2.50E-01	1.28E-01	1.00E+00	2.86E-06	2.86E-03	1.00E+03	4.00E-03	2.04E-03	5.10E-01	44	10.51	4.92	15.43	1.79	2.68	4.47	0.38	0.12	0.9	0	1.4	1.44	0.3	1.74	0	0	0	0.36	0	0.37	0	0	0	0	0	0	2.78E-02	3.26E-01	1.83E+00	-3229.188	5.26E-01	1.98E-04	1.00E-04	-3231.021	5.25E-01	1.88E+00	0.99	10	97055816
HCM6218	"AY417420,AY417421,AY417422"			Molecular function unclassified	Biological process unclassified	1.28E-01	2.14E-01	1.28E-01	2.14E-01	7.58E-06	7.58E-03	1.00E+03	3.70E-06	3.70E-03	1.00E+03	39	15.98	0.81	16.79	16.39	1.7	18.09	0.94	1.9	9.56	0	12.4	1.95	1.41	3.36	0.07	0	0	0.42	0	0.44	0	0	0	0	0	0	1.31E-02	3.39E-01	2.47E+00	-705.8098	6.45E-01	4.23E-04	1.00E-04	-708.2827	6.37E-01	3.14E+00	1.1	7	24627319
HCM7455	"AY421131,AY421132,AY421133"	23464	GCAT	Acyltransferase->Transferase	Biological process unclassified	1.29E-01	2.10E-01	1.29E-01	1.00E+00	1.06E-04	3.99E-03	3.76E+01	8.72E-03	4.04E-03	4.63E-01	52	32.21	4.98	37.19	3	4.52	7.52	1.8	0	1.27	0	3.07	0.6	0.22	0.82	0	0	0	0.55	0	0.74	0	0	0	0.08	0	0.08	6.11E-04	1.00E+00	5.23E+00	-1713.96	4.99E-01	2.97E-03	1.00E-04	-1719.189	4.98E-01	1.77E+01	2.35	22	21967905
HCM3935	"AY410571,AY410572,AY410573"	8702	B4GALT4	Glycosyltransferase->Transferase	Protein glycosylation->Protein modification->Protein metabolism and modification	1.29E-01	2.07E-01	1.29E-01	2.07E-01	3.14E-06	3.14E-03	1.00E+03	1.53E-06	1.53E-03	1.00E+03	41	8.26	2.92	11.18	7.04	3.16	10.2	2	0.88	4.03	0	6.91	1.86	0.84	2.7	0	0	0	0.28	0	0.4	0	0	0	0	0	0	1.82E-02	4.03E-01	2.19E+00	-1689.587	6.88E-01	2.64E-04	1.00E-04	-1691.773	6.84E-01	2.43E+00	0.46	3	121337211
HCM0170	"AY399276,AY399277,AY399278"	54503		Molecular function unknown	Biological process unknown	1.29E-01	2.17E-01	1.29E-01	2.17E-01	1.80E-06	1.80E-03	1.00E+03	8.70E-07	8.70E-04	1.00E+03	40	7.23	4.38	11.61	8.72	5.43	14.15	3.39	1.05	0	0	4.44	1.34	0.51	1.85	0.37	0	0	0.37	0	0.57	0	0	0	0	0	0	1.80E-02	3.70E-02	2.20E+00	-2708.256	3.75E-01	2.53E-04	1.00E-04	-2710.456	3.74E-01	2.35E+00	2.6	11	18983570
HCM2139	"AY405183,AY405184,AY405185"	9749		Molecular function unknown	Biological process unknown	1.30E-01	1.46E-01	1.30E-01	1.46E-01	5.28E-03	1.19E-02	2.25E+00	2.17E-06	2.17E-03	1.00E+03	40	12.82	1.57	14.39	10.69	2.67	13.36	2.81	0	0.53	0	3.34	0.52	0	0.52	0.12	0	0	0.54	0	0.75	0	0	0	0	0	0	2.51E-03	4.23E-01	3.94E+00	-2525.87	7.89E-01	3.79E-02	4.40E-02	-2529.806	7.75E-01	7.36E-01	0.63	6	144239568
HCM1475	"AY403191,AY403192,AY403193"			Molecular function unclassified	Biological process unclassified	1.30E-01	4.25E-01	1.30E-01	4.25E-01	4.11E-06	4.11E-03	1.00E+03	4.55E-08	4.55E-05	1.00E+03	41	16.02	1.54	17.56	21.03	0.69	21.72	2.15	0.63	0.96	0	3.74	0.58	1.76	2.34	0	0	0	0.41	0	0.44	0	0	0	0.1	0	0.1	1.13E-02	4.00E-01	2.60E+00	-1209.314	8.42E-01	3.12E-04	1.00E-04	-1211.916	8.28E-01	2.72E+00	1.68	9	15653725
HCM6092	"AY417042,AY417043,AY417044"	9631	NUP155	Other transporter->Transporter	Cell structure->Cell structure and motility;Nuclear transport->Intracellular protein traffic	1.31E-01	6.10E-02	1.31E-01	1.00E+00	1.72E-06	1.72E-03	1.00E+03	1.70E-03	1.70E-07	1.00E-04	42	40.12	1.03	41.15	5.64	0.29	5.93	2.97	0.41	0	0.48	3.86	1.62	0.66	2.28	0.17	0.27	0.15	0.51	0	0.58	0	0	0	0.04	0	0.04	4.44E-04	2.77E-02	5.52E+00	-4073.935	5.10E-01	1.90E-02	1.00E-04	-4079.459	5.11E-01	1.90E+02	1.59	5	39000127
